id,category,question,expected_calls,selected_calls,tool_selection_correct,result_valid,citation_valid,fallback_triggered,fallback_reason,passed,error
hist-network-ranking,historical network,Which subway route had the highest long-gap rate in the recent data?,network_reliability({}),"network_reliability({""line"": null})",True,True,True,True,no_api_key,False,
hist-red,historical line,How has the Red Line been running recently?,"network_reliability({""line"": ""Red""})","network_reliability({""line"": ""Red""})",True,True,True,True,no_api_key,False,
hist-green,historical line,Which Green Line branch had the most uneven train spacing?,"network_reliability({""line"": ""Green""})","network_reliability({""line"": ""Green""})",True,True,True,True,no_api_key,False,
hist-blue,historical line,Summarize recent headway reliability on the Blue Line.,"network_reliability({""line"": ""Blue""})","network_reliability({""line"": ""Blue""})",True,True,True,True,no_api_key,False,
live-orange,live line,What is happening on the Orange Line right now?,"live_line_status({""line"": ""Orange""})","live_line_status({""line"": ""Orange""})",True,True,True,True,no_api_key,False,
live-blue,live line,"Show me the current Blue Line vehicles, notices, and prediction gaps.","live_line_status({""line"": ""Blue""})","live_line_status({""line"": ""Blue""})",True,True,True,True,no_api_key,False,
live-network,live network,Are there any subway service notices right now?,live_line_status({}),"live_line_status({""line"": null})",True,True,True,True,no_api_key,False,
station-harvard,historical station,How were realized headways at Harvard on the Red Line?,"station_headways({""station"": ""Harvard"", ""line"": ""Red""})","station_headways({""station"": ""Harvard"", ""line"": ""Red""})",True,True,True,True,no_api_key,False,
station-kendall,historical station,Summarize recent train spacing at Kendall/MIT on the Red Line.,"station_headways({""station"": ""Kendall/MIT"", ""line"": ""Red""})","station_headways({""station"": ""Kendall/MIT"", ""line"": ""Red""})",True,True,True,True,no_api_key,False,
station-state,historical station,Were there many long gaps at State on the Orange Line?,"station_headways({""station"": ""State"", ""line"": ""Orange""})","station_headways({""station"": ""State"", ""line"": ""Orange""})",True,True,True,True,no_api_key,False,
define-gap,methodology,How does T-Analyst decide that a gap is unusually long?,metric_definition({}),metric_definition({}),True,True,True,True,no_api_key,False,
define-prediction,methodology,What is the difference between a prediction gap and a realized headway?,metric_definition({}),metric_definition({}),True,True,True,True,no_api_key,False,
compare-orange,multi-tool,Compare current Orange Line conditions with its recent reliability.,"live_line_status({""line"": ""Orange""}); network_reliability({""line"": ""Orange""})","live_line_status({""line"": ""Orange""}); network_reliability({""line"": ""Orange""})",True,True,True,True,no_api_key,False,
live-red-notices,live line,How is the Red Line running right now? Are there any service notices?,"live_line_status({""line"": ""Red""})","live_line_status({""line"": ""Red""})",True,True,True,True,no_api_key,False,
define-two-metrics,methodology,How are long gaps and bunching calculated?,metric_definition({}),metric_definition({}),True,True,True,True,no_api_key,False,
station-harvard-square,station alias,How were realized Red Line headways at Harvard Square?,"station_headways({""line"": ""Red""})","station_headways({""station"": ""Harvard Square"", ""line"": ""Red""})",True,True,True,True,no_api_key,False,
station-kendall-square,station alias,Show recent Red Line train spacing at Kendall Square.,"station_headways({""line"": ""Red""})","station_headways({""station"": ""Kendall Square"", ""line"": ""Red""})",True,True,True,True,no_api_key,False,
station-mit,station alias,What were realized train intervals near MIT on the Red Line?,"station_headways({""line"": ""Red""})","station_headways({""station"": ""MIT"", ""line"": ""Red""})",True,True,True,True,no_api_key,False,
station-state-street,station alias,Did the Orange Line have many long gaps at State Street?,"station_headways({""line"": ""Orange""})","station_headways({""station"": ""State Street"", ""line"": ""Orange""})",True,True,True,True,no_api_key,False,
station-park-street,dynamic station index,Summarize recent Red Line headways at Park Street.,"station_headways({""line"": ""Red""})","station_headways({""station"": ""Park Street"", ""line"": ""Red""})",True,True,True,True,no_api_key,False,
